row,name,classification,enrichment_status,reason,candidates
1,North Zuk Beach,FAIL,unresolved,no Apple results,
2,South Zuk Beach,FAIL,unresolved,no Apple results,
5,Nordau Separate Beach,FAIL,unresolved,no Apple results,
9,Bograshov Beach,REVIEW,ambiguous,no confident unique Apple match,[object Object]
14,Beit Ariela Public Library,REVIEW,ambiguous,no confident unique Apple match,"[object Object],[object Object]"
15,Nistor Library,FAIL,unresolved,no Apple results,
16,Chess Center ג€“ Sissy and Marc Sol Library,FAIL,unresolved,no Apple results,
17,Sherman Library,FAIL,unresolved,no Apple results,
18,Felicia Blumenthal Music Center and Library,REVIEW,ambiguous,no confident unique Apple match,[object Object]
20,Beit Danni Library,FAIL,unresolved,no Apple results,
21,Bat Zion Library,FAIL,unresolved,no Apple results,
22,Hadar Yosef Library,REVIEW,ambiguous,no confident unique Apple match,"[object Object],[object Object],[object Object]"
23,Anna Laura Petlik Fischer Library,FAIL,unresolved,no Apple results,
24,Yad Lebanim Library,FAIL,unresolved,no Apple results,
25,Jaffa Gimel Library,FAIL,unresolved,no Apple results,
26,Mandel Library and Culture Center,FAIL,unresolved,no Apple results,
27,Neve Eliezer Library,REVIEW,ambiguous,no confident unique Apple match,"[object Object],[object Object]"
28,Ramat Aviv Gimel Library,REVIEW,ambiguous,no confident unique Apple match,[object Object]
31,ANU ג€“ Museum of the Jewish People,FAIL,unresolved,no Apple results,
32,Steinhardt Museum of Natural History,REVIEW,manual_review,Source verification status requires manual review,
33,Nahum Gutman Museum of Art,REVIEW,manual_review,Source verification status requires manual review,
34,Ilana Goor Museum,REVIEW,manual_review,Source verification status requires manual review,
35,Tel Aviv Port Promenade,REVIEW,ambiguous,no confident unique Apple match,"[object Object],[object Object]"
36,Yarkon Park,REVIEW,manual_review,Source verification status requires manual review,
37,Menachem Begin Park (South Park),REVIEW,manual_review,Source verification status requires manual review,
38,Charles Clore Park,REVIEW,manual_review,Source verification status requires manual review,
39,Independence Park,REVIEW,manual_review,Source verification status requires manual review,
40,Meir Garden,REVIEW,manual_review,Source verification status requires manual review,
41,HaPisga Garden,FAIL,unresolved,no Apple results,
43,Gordon Pool,REVIEW,manual_review,Source verification status requires manual review,
45,Beit Barbur Community Center,REVIEW,manual_review,Source verification status requires manual review,
46,Beit Danni Community Center,FAIL,unresolved,no Apple results,
47,Neve Sharet Country and Community Center,REVIEW,manual_review,Source verification status requires manual review,
48,Neot Afeka Community Country,REVIEW,manual_review,Source verification status requires manual review,
49,Zahala Community Country,FAIL,unresolved,no Apple results,
50,Beit Frankfurt Community Center,REVIEW,manual_review,Source verification status requires manual review,
