name,category,latitude,longitude,formatted_address,neighborhood,short_description,is_indoor,is_outdoor,is_free,price_note,min_age_months,max_age_months,stroller_friendly,changing_table,toilets,shade,water_fountain,accessible,website_url,source_name,source_url,verification_status,last_verified_at,external_id,provider,provider_place_id,slug,full_description,cover_image_url,gallery_image_urls,high_chairs,place_origin,partner_tags
Tel Baruch Beach,beach,32.1212765,34.7819896,"Tel Baruch Beach, HaTayelet, Tel Aviv-Yafo, Israel",Tel Baruch,Municipal lifeguarded beach in Tel Aviv-Yafo. Check seasonal lifeguard hours before visiting.,false,true,true,,0,,true,,true,true,true,true,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,verified,2026-08-05,,apple_maps,IBE7F1F5DE0A97602,tel-baruch-beach,,,,,curated,
Metzitzim Beach,beach,32.0937172,34.7704972,"Havakuk Hanavi Street 1, Tel Aviv-Yafo, Israel",Old North,Municipal lifeguarded beach in Tel Aviv-Yafo. Check seasonal lifeguard hours before visiting.,false,true,true,,0,,true,,true,true,true,true,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,verified,2026-08-05,,apple_maps,IEA72CA691C1DF7B,metzitzim-beach,,,,,curated,
Hilton Beach,beach,32.0903756,34.7694099,"Tayelet Shlomo Lahat 0, Tel Aviv-Yafo, Israel",Old North,Municipal lifeguarded beach in Tel Aviv-Yafo. Check seasonal lifeguard hours before visiting.,false,true,true,,0,,true,,true,true,true,true,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,verified,2026-08-05,,apple_maps,IAF87569EF707FED8,hilton-beach,,,,,curated,
Gordon Beach,beach,32.0835702,34.767973,"Hayarkon Street 123, Tel Aviv-Yafo, Israel",City Center,Municipal lifeguarded beach in Tel Aviv-Yafo. Check seasonal lifeguard hours before visiting.,false,true,true,,0,,true,,true,true,true,true,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,verified,2026-08-05,,apple_maps,I448CE05B44BEDE03,gordon-beach,,,,,curated,
Frishman Beach,beach,32.079885,34.766559,"Herbert Samuel Pier 105, Tel Aviv-Yafo, Israel",City Center,Municipal lifeguarded beach in Tel Aviv-Yafo. Check seasonal lifeguard hours before visiting.,false,true,true,,0,,true,,true,true,true,true,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,verified,2026-08-05,,apple_maps,I2DE3C3BB6622E954,frishman-beach,,,,,curated,
Jerusalem Beach,beach,32.073899,34.7643251,"Trumpeldor Beach, Tel Aviv-Yafo, Israel",City Center,Municipal lifeguarded beach in Tel Aviv-Yafo. Check seasonal lifeguard hours before visiting.,false,true,true,,0,,true,,true,true,true,true,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,verified,2026-08-05,,apple_maps,IAA5E53E905F022E6,jerusalem-beach,,,,,curated,
Geula Beach,beach,32.0725042,34.763746,"Herbert Samuel Pier 51, Tel Aviv-Yafo, Israel",Kerem HaTeimanim,Municipal lifeguarded beach in Tel Aviv-Yafo. Check seasonal lifeguard hours before visiting.,false,true,true,,0,,true,,true,true,true,true,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,verified,2026-08-05,,apple_maps,I6105C29D54D97EE4,geula-beach,,,,,curated,
Charles Clore Beach,beach,32.0608142,34.7592777,"Charles Clore Beach, Tayelet Shlomo Lahat, Tel Aviv-Yafo, Israel",Neve Tzedek / Jaffa,Municipal lifeguarded beach in Tel Aviv-Yafo. Check seasonal lifeguard hours before visiting.,false,true,true,,0,,true,,true,true,true,true,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,verified,2026-08-05,,apple_maps,I6D7C933960171446,charles-clore-beach,,,,,curated,
Givat Aliya Beach,beach,32.0353931,34.7431795,"Rehov Yotvat 26׳, Tel Aviv-Yafo, Israel",Jaffa,Municipal lifeguarded beach in Tel Aviv-Yafo. Check seasonal lifeguard hours before visiting.,false,true,true,,0,,true,,true,true,true,true,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,verified,2026-08-05,,apple_maps,I41D1ADB570BE7D2C,givat-aliya-beach,,,,,curated,
Beit Barbur Library,library,32.054015,34.801737,"Ha'hagana Road 135, Tel Aviv-Yafo, Israel",Yad Eliyahu,Municipal public library with children's books and community or cultural programming.,true,false,true,,0,,true,,true,,,true,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,verified,2026-08-05,,apple_maps,IAB938272CD607358,beit-barbur-library,,,,,curated,
