name,slug,category,latitude,longitude,formatted_address,neighborhood,short_description,full_description,is_indoor,is_outdoor,is_free,price_note,min_age_months,max_age_months,stroller_friendly,changing_table,toilets,shade,water_fountain,accessible,website_url,source_name,source_url,provider,provider_place_id,verification_status,last_verified_at,is_active,image_status
Nordau Separate Beach,nordau-separate-beach,beach,32.092669,34.770928,"Tayelet Shlomo Lahat 0, Tel Aviv-Yafo, Israel",Old North,Municipal lifeguarded beach in Tel Aviv-Yafo. Check seasonal lifeguard hours before visiting.,,false,true,true,,,,,,,,,,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,apple_maps,I7A66980BC47322D0,verified,2026-08-05,true,fallback_only
Bograshov Beach,bograshov-beach,beach,32.078476,34.766186,"Bograshov Beach, Tel Aviv-Yafo, Israel",City Center,Municipal lifeguarded beach in Tel Aviv-Yafo. Check seasonal lifeguard hours before visiting.,,false,true,true,,,,,,,,,,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/Visitors/Beaches/Pages/Beaches.aspx,apple_maps,IAA684A2F4376388A,verified,2026-08-05,true,fallback_only
Beit Ariela Public Library,beit-ariela-public-library,library,32.076704,34.786295,"Shaul HaMelech Boulevard 25, Tel Aviv-Yafo, Israel",City Center,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,apple_maps,IDEA38843DB89C6EE,verified,2026-08-05,true,rights_review_required
Chess Center – Sissy and Marc Sol Library,chess-center-sissy-and-marc-sol-library,library,32.115777,34.796976,"Tagore Street 26, Tel Aviv-Yafo, Israel",Ramat Aviv,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,,,verified,2026-08-05,true,fallback_only
Sherman Library,sherman-library,library,32.050212,34.776313,"Mesilat Yesharim Street 27, Tel Aviv-Yafo, Israel",Shapira / South Tel Aviv,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,,,verified,2026-08-05,true,fallback_only
Felicia Blumenthal Music Center and Library,felicia-blumenthal-music-center-and-library,library,32.0732474,34.7712028,"Haim Nahman Bialik Street 26, Tel Aviv-Yafo, Israel",City Center,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,apple_maps,I91EFE9E677E5ECB3,verified,2026-08-05,true,rights_review_required
Beit Danni Library,beit-danni-library,library,32.050661,34.789228,"Kabir Lane 4, Tel Aviv-Yafo, Israel",Hatikva,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,,,verified,2026-08-05,true,fallback_only
Bat Zion Library,bat-zion-library,library,32.062301,34.796758,"Bat Zion Street 10, Tel Aviv-Yafo, Israel",Jaffa,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,,,verified,2026-08-05,true,fallback_only
Hadar Yosef Library,hadar-yosef-library,library,32.107983,34.822131,"Yosef Kitzis Street 23, Tel Aviv-Yafo, Israel",Hadar Yosef,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,,,verified,2026-08-05,true,fallback_only
Anna Laura Petlik Fischer Library,anna-laura-petlik-fischer-library,library,32.0411612,34.7471627,"Kedem Street 109, Tel Aviv-Yafo, Israel",Jaffa,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,,,verified,2026-08-05,true,fallback_only
Yad Lebanim Library,yad-lebanim-library,library,32.091669,34.793026,"David Zvi Pinkas Street 63, Tel Aviv-Yafo, Israel",Old North,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,,,verified,2026-08-05,true,fallback_only
Yaffo Gimel Library,jaffa-gimel-library,library,32.033169,34.748052,"Isaac Harif Street 21, Tel Aviv-Yafo, Israel",Jaffa,Municipal public library with children's books and community or cultural programming.,,true,false,,Free library membership for eligible Tel Aviv-Yafo residents.,,,,,,,,,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,Tel Aviv-Yafo Municipality,https://www.tel-aviv.gov.il/en/Live/Education/Pages/Public-Libraries.aspx,apple_maps,I5A79CC8F7ADB5676,verified,2026-08-05,true,fallback_only
